ticker,date,timestamp,open,high,low,close,volume
SPY,2024-04-25,2024-04-25T08:00:00,502.45,502.88,502.38,502.85,16428
SPY,2024-04-25,2024-04-25T08:05:00,502.85,502.88,502.8,502.88,12856
SPY,2024-04-25,2024-04-25T08:10:00,502.88,503.15,502.82,503.15,10440
SPY,2024-04-25,2024-04-25T08:15:00,503.14,503.2,503.09,503.09,1831
SPY,2024-04-25,2024-04-25T08:20:00,503.11,503.11,503.01,503.01,1256
SPY,2024-04-25,2024-04-25T08:25:00,503.01,503.01,502.92,502.92,734
SPY,2024-04-25,2024-04-25T08:30:00,502.95,503.06,502.92,503.06,1585
SPY,2024-04-25,2024-04-25T08:35:00,503.15,503.3,503.15,503.29,2415
SPY,2024-04-25,2024-04-25T08:40:00,503.28,503.34,503.22,503.22,2375
SPY,2024-04-25,2024-04-25T08:45:00,503.21,503.29,503.19,503.25,2535
SPY,2024-04-25,2024-04-25T08:50:00,503.27,503.27,503.22,503.23,1978
SPY,2024-04-25,2024-04-25T08:55:00,503.15,503.15,503.03,503.03,1096
SPY,2024-04-25,2024-04-25T09:00:00,503.05,503.15,503,503.15,2902
SPY,2024-04-25,2024-04-25T09:05:00,503.17,503.17,503.05,503.05,915
SPY,2024-04-25,2024-04-25T09:10:00,503.07,503.15,502.99,503.15,2170
SPY,2024-04-25,2024-04-25T09:15:00,503.17,503.18,503.1,503.15,2759
SPY,2024-04-25,2024-04-25T09:20:00,503.17,503.2,503.08,503.13,1566
SPY,2024-04-25,2024-04-25T09:25:00,503.13,503.15,503.13,503.15,757
SPY,2024-04-25,2024-04-25T09:30:00,503.15,503.15,503.05,503.05,536
SPY,2024-04-25,2024-04-25T09:35:00,503.15,503.22,503.15,503.22,3054
SPY,2024-04-25,2024-04-25T09:40:00,503.22,503.33,503.22,503.33,4581
SPY,2024-04-25,2024-04-25T09:45:00,503.39,503.39,503.22,503.22,1115
SPY,2024-04-25,2024-04-25T09:50:00,503.23,503.23,503.1,503.1,304
SPY,2024-04-25,2024-04-25T09:55:00,503.1,503.2,503.1,503.2,308
SPY,2024-04-25,2024-04-25T10:00:00,503.1,503.32,503.1,503.32,1718
SPY,2024-04-25,2024-04-25T10:05:00,503.15,503.15,503.03,503.1,2796
SPY,2024-04-25,2024-04-25T10:10:00,503,503,502.9,502.9,1485
SPY,2024-04-25,2024-04-25T10:15:00,502.84,502.92,502.84,502.91,9099
SPY,2024-04-25,2024-04-25T10:20:00,502.83,502.83,502.83,502.83,853
SPY,2024-04-25,2024-04-25T10:25:00,502.96,503.03,502.95,502.95,2728
SPY,2024-04-25,2024-04-25T10:30:00,502.88,503.08,502.85,503.08,2185
SPY,2024-04-25,2024-04-25T10:35:00,502.93,502.97,502.87,502.92,5535
SPY,2024-04-25,2024-04-25T10:40:00,502.93,502.98,502.55,502.66,3109
SPY,2024-04-25,2024-04-25T10:45:00,502.76,502.84,502.75,502.75,4166
SPY,2024-04-25,2024-04-25T10:50:00,502.77,502.8,502.66,502.66,1569
SPY,2024-04-25,2024-04-25T10:55:00,502.65,502.69,502.41,502.49,34986
SPY,2024-04-25,2024-04-25T11:00:00,502.44,502.49,502.1,502.49,18349
SPY,2024-04-25,2024-04-25T11:05:00,502.539,502.539,502.23,502.3,8995
SPY,2024-04-25,2024-04-25T11:10:00,502.42,502.52,502.34,502.52,8290
SPY,2024-04-25,2024-04-25T11:15:00,502.54,502.8,502.54,502.78,13345
SPY,2024-04-25,2024-04-25T11:20:00,502.81,502.81,502.57,502.59,5608
SPY,2024-04-25,2024-04-25T11:25:00,502.59,502.61,502.32,502.44,29943
SPY,2024-04-25,2024-04-25T11:30:00,502.4,502.43,502.3,502.31,14519
SPY,2024-04-25,2024-04-25T11:35:00,502.32,502.34,502.08,502.22,34808
SPY,2024-04-25,2024-04-25T11:40:00,502.27,502.61,502.22,502.61,8520
SPY,2024-04-25,2024-04-25T11:45:00,502.61,502.771,502.58,502.74,12102
