ticker,date,timestamp,open,high,low,close,volume,market
HOOD,2025-04-01,2025-04-01T00:00:00,222.23,223.09,222.09,222.62,4265,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:05,222.9,224.14,222.24,222.41,10156,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:10,221.39,222.8,220.73,222.23,38752,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:15,223.15,223.3,222.17,223.02,28321,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:20,222.47,223.92,222.04,222.29,13303,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:25,221.27,222.75,220.48,221.91,37766,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:30,223.04,223.92,222.45,223.91,15441,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:35,223.8,225.05,222.46,223.43,31600,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:40,223.3,224.54,221.83,222.21,45689,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:45,221.18,221.78,220.01,221.71,24097,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:50,222.43,222.97,221.88,222.6,4000,NASDAQ
HOOD,2025-04-01,2025-04-01T00:00:55,222.94,223.05,222.73,222.79,24046,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:00,221.94,222.52,221.21,222.01,38993,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:05,222.75,222.86,221.28,222.17,40205,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:10,223.17,224.65,222.58,224.46,48242,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:15,223.27,224.08,223.09,224.0,12896,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:20,224.27,224.61,223.36,223.42,4442,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:25,224.66,225.35,224.42,224.5,37500,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:30,225.02,226.44,224.5,225.83,37567,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:35,226.62,227.0,226.2,226.53,20312,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:40,225.99,227.15,224.92,225.08,13760,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:45,226.03,227.06,225.42,225.72,14495,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:50,226.02,226.88,225.66,225.72,34979,NASDAQ
HOOD,2025-04-01,2025-04-01T00:01:55,226.68,227.45,225.42,226.99,47869,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:00,228.02,229.07,227.69,228.68,37055,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:05,228.57,228.77,228.36,228.69,30787,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:10,228.13,229.53,227.08,227.28,40675,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:15,226.47,227.58,225.06,225.85,42377,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:20,224.39,224.62,224.21,224.56,4359,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:25,224.27,225.24,223.48,224.08,36810,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:30,222.85,224.34,221.8,223.44,21744,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:35,221.94,223.27,221.19,221.44,6758,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:40,221.75,223.25,221.32,222.53,11640,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:45,221.5,222.31,220.97,221.11,43833,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:50,219.62,220.05,218.28,219.91,30129,NASDAQ
HOOD,2025-04-01,2025-04-01T00:02:55,218.95,219.36,218.69,219.16,24084,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:00,219.25,219.45,217.76,219.29,47907,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:05,218.79,219.66,218.04,218.33,21000,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:10,218.36,219.65,217.99,219.54,38528,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:15,218.8,219.96,218.13,219.72,2406,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:20,220.25,221.01,219.1,220.58,37238,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:25,220.91,221.03,220.44,220.91,13051,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:30,222.23,222.73,220.75,222.46,49407,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:35,222.29,222.39,221.34,222.36,2178,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:40,223.15,224.22,221.66,222.95,19504,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:45,223.25,224.57,222.65,223.32,41235,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:50,223.7,224.65,222.34,223.09,11519,NASDAQ
HOOD,2025-04-01,2025-04-01T00:03:55,224.5,224.75,223.96,224.1,14414,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:00,223.71,224.8,222.37,222.67,28327,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:05,222.49,223.77,221.94,222.77,16119,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:10,222.64,223.07,221.72,221.81,14304,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:15,221.95,223.04,221.31,222.59,38983,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:20,221.6,223.1,221.17,221.88,19480,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:25,221.46,222.06,220.47,221.52,41079,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:30,221.76,222.94,221.31,222.19,37371,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:35,221.32,222.34,220.03,222.27,38040,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:40,222.37,223.8,221.26,221.45,46361,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:45,222.64,223.77,221.91,223.11,35137,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:50,224.59,225.83,223.9,224.0,45278,NASDAQ
HOOD,2025-04-01,2025-04-01T00:04:55,222.66,223.43,221.8,222.49,22852,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:00,223.05,223.65,222.1,222.93,14060,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:05,224.39,225.4,222.99,223.32,11889,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:10,223.93,224.1,223.38,223.87,12392,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:15,223.42,223.52,222.38,223.15,10749,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:20,222.19,223.61,220.78,222.6,9137,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:25,223.12,224.44,221.95,222.38,1274,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:30,222.15,222.73,220.89,222.59,16723,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:35,222.23,223.33,221.04,223.01,28011,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:40,222.0,222.66,220.75,220.84,43337,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:45,220.82,222.26,220.46,221.18,32680,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:50,219.91,221.35,219.17,219.66,30735,NASDAQ
HOOD,2025-04-01,2025-04-01T00:05:55,220.99,221.36,219.82,221.19,17443,NASDAQ
HOOD,2025-04-01,2025-04-01T00:06:00,222.65,223.85,222.15,223.18,24067,NASDAQ
HOOD,2025-04-01,2025-04-01T00:06:05,224.58,225.74,223.84,224.19,25315,NASDAQ
HOOD,2025-04-01,2025-04-01T00:06:10,225.17,226.27,224.74,225.53,11750,NASDAQ
